category,skills
Software Engineer,"python, java, javascript, react, django, sql, aws, docker, git, rest api, microservices, spring boot"
Junior Software Engineer,"python, java, javascript, react, git, sql, html, css, problem solving"
Android Developer,"android, java, kotlin, git, rest api, firebase, sqlite, xml"
Web Developer,"html, css, javascript, react, node.js, express, mongodb, git"
Data Scientist,"python, machine learning, pandas, numpy, sql, tensorflow, pytorch, scikit-learn, matplotlib, seaborn, nlp"
Project Manager,"agile, scrum, jira, leadership, project management, communication, risk management, ms project"
HR Executive,"recruitment, onboarding, hr policies, payroll, communication, performance management, employee relations"
Marketing Manager,"digital marketing, seo, social media, content writing, google analytics, email marketing, ppc"
Sales Executive,"sales, negotiation, crm, lead generation, communication, b2b, cold calling"
Financial Analyst,"accounting, excel, financial reporting, tally, gst, sap, power bi"
Graphic Designer,"photoshop, illustrator, figma, ui/ux, adobe xd, after effects, coreldraw"
Customer Support,"communication, problem solving, crm, customer service, ticketing system, empathy"
Operations Manager,"supply chain, logistics, inventory management, leadership, erp, forecasting"
Data Entry Operator,"excel, typing, data management, ms office, google sheets, attention to detail"
Cloud Engineer,"aws, azure, gcp, docker, kubernetes, terraform, ci/cd, linux, networking, python"
DevOps Engineer,"docker, kubernetes, jenkins, gitlab ci, github actions, ansible, terraform, aws, linux, bash, python"
Cybersecurity Analyst,"network security, encryption, firewalls, siem, penetration testing, risk assessment, iso 27001, python"
Data Engineer,"etl, sql, python, spark, hadoop, airflow, data warehousing, aws glue, big data, kafka"
Machine Learning Engineer,"python, tensorflow, pytorch, scikit-learn, mlops, docker, kubernetes, aws sagemaker, mlflow"
AI Researcher,"deep learning, nlp, computer vision, reinforcement learning, pytorch, tensorflow, research, python, c++"
Full Stack Developer,"javascript, react, node.js, express, mongodb, postgresql, html, css, git, rest api, graphql"
Frontend Developer,"html, css, javascript, react, vue.js, angular, tailwind, bootstrap, git, webpack"
Backend Developer,"python, java, node.js, spring boot, django, flask, rest api, sql, mongodb, microservices"
Database Administrator,"sql, oracle, mysql, postgresql, mongodb, backup recovery, performance tuning, pl/sql"
Network Engineer,"cisco, routing, switching, tcp/ip, dns, dhcp, vpn, firewalls, ccna, wireshark"
Systems Administrator,"linux, windows server, active directory, virtualization, vmware, bash, automation"
Blockchain Developer,"solidity, ethereum, smart contracts, web3.js, rust, go, cryptography, truffle"
Game Developer,"unity, c#, unreal engine, c++, 3d modeling, game physics, animation"
Mobile Developer (iOS),"swift, xcode, ios, uikit, core data, rest api, git, firebase"
DevSecOps,"devops, security, ci/cd, docker, kubernetes, terraform, vault, sonarqube, owasp, python"
Site Reliability Engineer (SRE),"python, go, kubernetes, monitoring, prometheus, grafana, linux, aws, incident management"
Technical Writer,"technical documentation, markdown, git, madcap flare, api documentation, communication"
QA Engineer,"manual testing, automated testing, selenium, junit, pytest, jira, ci/cd, postman, performance testing"
Scrum Master,"agile, scrum, kanban, jira, confluence, team facilitation, conflict resolution, psm"
Product Manager,"product lifecycle, agile, market research, user stories, jira, figma, analytics, communication"
IT Support Specialist,"troubleshooting, hardware, software, networking, windows, mac, linux, customer service, active directory"
Big Data Engineer,"spark, hadoop, hdfs, hive, kafka, hbase, scala, python, cassandra, flink"
NLP Engineer,"python, nlp, transformers, bert, spacy, nltk, tensorflow, pytorch, llm, openai api"
Computer Vision Engineer,"python, opencv, computer vision, deep learning, yolo, pytorch, tensorflow, image processing"
Robotics Engineer,"ros, c++, python, kinematics, sensors, ros2, gazebo, embedded systems"
Embedded Systems Engineer,"c, c++, embedded c, microcontrollers, arduino, raspberry pi, rtos, i2c, spi"
Data Analyst,"sql, excel, python, tableau, power bi, statistics, data visualization, pandas"
Business Intelligence (BI) Developer,"power bi, tableau, sql, data warehousing, excel, dax, etl, reporting"
Systems Analyst,"requirements gathering, uml, sql, business process modeling, testing, communication"
IT Architect,"system design, microservices, cloud architecture, aws, azure, security, scalability, technical leadership"
Web3 Developer,"blockchain, solidity, ethereum, web3.js, hardhat, ipfs, defi, nft"
Mobile Developer (Cross Platform),"flutter, dart, react native, javascript, firebase, api integration"
API Developer,"rest api, graphql, swagger, postman, python, node.js, oauth, api security"
Cloud Security Engineer,"aws security, azure security, iam, kms, soc, compliance, cspm, cloudtrail, python"
Data Architect,"data modeling, data warehouse, lakehouse, sql, etl, aws redshift, snowflake, bigquery, power bi"
Prompt Engineer,"openai api, llm, prompt design, nlp, python, chatgpt, claude, few-shot learning"
AI Product Manager,"ai/ml, product management, roadmaps, agile, jira, data science, stakeholder management"
MLOps Engineer,"mlflow, kubeflow, docker, kubernetes, ci/cd, aws sagemaker, azure ml, tfx, python"
Conversational AI Developer,"rasa, dialogflow, chatbot, nlp, python, google ccai, azure bot service, llm"
IoT Engineer,"iot, mqtt, aws iot, sensors, arduino, raspberry pi, node-red, python, c++"
Data Governance Analyst,"data lineage, data quality, metadata, collibra, alation, sql, compliance"
Salesforce Developer,"salesforce, apex, visualforce, lwc, soql, rest api, triggers, salesforce administration"
SAP Consultant,"sap fico, sap mm, sap sd, abap, s/4hana, sap basis, sap bw"
DevOps Architect,"kubernetes, docker, terraform, ansible, aws, azure, ci/cd, monitoring, security, devops culture"
IT Project Manager,"itil, agile, waterfall, jira, budget management, stakeholder communication, risk management"
